,name,x1,c,mass,x1_err,c_err,mass_err,set
57,1297465,1.1643,0.0415137,10.068,0.1356,0.0268685,0.001,DES
58,1298281,-1.56047,0.0555528,9.297,0.2294,0.0309272,0.0785,DES
59,1298893,-2.23751,-0.0280742,10.784,0.7837,0.1204,0.1435,DES
60,1299643,0.6857,-0.0899056,9.253,0.2634,0.0289616,0.028,DES
61,1299775,-0.412536,0.1848,10.783,0.1964,0.037261,0.134,DES
62,1299785,0.0028449,0.049761,10.185,0.4218,0.0410501,0.0105,DES
63,1300516,0.9084,0.1594,9.557,0.2901,0.0335439,0.0975,DES
64,1300912,-0.477849,0.0452176,9.744,0.1466,0.0255492,0.0145,DES
65,1301933,-0.217035,-0.12803,10.006,0.0899569,0.0221188,0.0995,DES
66,1302058,0.3777,-0.000860242,9.664,0.1296,0.0270532,0.039,DES
67,1302141,-0.0860256,0.0421593,9.429,0.6613,0.0639493,1.76,DES
68,1302187,-0.885027,0.04091,10.95,0.3403,0.0381394,0.873,DES
69,1302523,0.232,-0.022097,10.498,0.2709,0.0280122,0.0245,DES
70,1302648,-0.714834,0.1141,10.131,0.2247,0.0304358,0.013,DES
71,1303004,0.8519,-0.0510343,9.369,0.1645,0.0274816,0.2945,DES
72,1303279,1.1414,-0.062747,10.617,0.3571,0.0330808,0.125,DES
73,1303496,-0.30887,0.0679264,10.643,0.3644,0.0330486,0.1955,DES
74,1303883,0.5881,-0.0365376,10.894,0.2188,0.0307385,0.014,DES
75,1303952,0.5824,-0.19342,11.137,0.5797,0.044198,0.1215,DES
76,1304127,0.538,-0.243668,9.315,0.7809,0.0713148,0.7895,DES
77,1304442,0.259,-0.0707099,9.568,0.3019,0.0355842,0.0135,DES
78,1304678,-1.43378,-0.0461967,11.23,0.6476,0.0889411,0.0265,DES
79,1305504,-0.437285,-0.0842412,10.953,0.1639,0.0250102,0.0735,DES
80,1305626,-0.295547,-0.107764,9.283,0.1005,0.0227104,0.032,DES
82,1306073,-1.30489,-0.036721,10.4,0.2011,0.0296525,0.151,DES
83,1306141,-0.134363,-0.0722371,9.678,0.2219,0.02788,0.075,DES
84,1306360,-0.65159,0.00421934,10.646,0.7254,0.0511901,0.274,DES
85,1306390,0.0431502,0.1667,10.29,1.0415,0.0661944,0.073,DES
86,1306537,1.2314,-0.0773276,9.666,0.5108,0.0361245,0.2915,DES
87,1306626,0.2241,-0.0777843,9.031,0.3671,0.0304204,0.0555,DES
88,1306785,-1.21973,-0.013885,10.989,1.2562,0.0612069,0.0835,DES
89,1306980,-1.13876,0.0499708,10.095,0.8159,0.0654992,0.017,DES
90,1306991,-0.401683,-0.0475181,10.919,0.7362,0.0590605,0.0015,DES
91,1307277,-0.391529,0.0584071,10.612,0.8347,0.0575496,0.013,DES
92,1307830,-1.84149,-0.0847492,10.399,0.207,0.0299318,0.063,DES
93,1308314,0.0259775,-0.0513446,7.522,0.2781,0.0284112,0.1385,DES
94,1308326,0.4521,-0.117778,9.665,0.2076,0.0265255,0.015,DES
95,1308568,-0.0884659,0.1147,8.873,1.0303,0.071588,0.2085,DES
96,1308582,-0.425515,-0.0665627,10.698,0.3427,0.0352335,0.01,DES
97,1308884,-1.42624,0.0721732,10.228,0.0801074,0.0289996,0.128,DES
98,1308957,0.6783,-0.146073,10.078,0.6909,0.0562776,0.2735,DES
99,1309288,0.4867,-0.100892,10.961,0.4432,0.0455268,0.0265,DES
100,1309492,0.1844,-0.0839206,9.562,0.0901635,0.0218481,0.0665,DES
101,1309749,0.686,-0.129145,9.115,0.3325,0.0456015,0.082,DES
104,1312274,-1.4439,-0.0934088,10.494,0.5261,0.0395566,0.1565,DES
105,1313594,0.4976,-0.101559,10.379,0.1626,0.0284748,0.1885,DES
106,1314897,0.8917,0.0165514,11.148,0.3047,0.0315375,0.0,DES
107,1315192,1.023,0.0818286,10.654,0.3501,0.0344022,0.028,DES
108,1315259,-0.490833,0.0393864,11.562,0.1737,0.0285963,0.044,DES
109,1315296,1.5792,0.0548848,9.821,0.6982,0.0447479,0.065,DES
110,1316385,1.3231,0.00405317,9.804,0.2554,0.0316309,0.1255,DES
112,1316437,0.0681209,0.0300015,9.413,0.6233,0.0436074,0.112,DES
113,1316465,0.4014,-0.0221276,9.316,0.105,0.0225207,0.0565,DES
114,1317164,-2.29702,0.1137,10.964,0.2148,0.0464195,0.129,DES
115,1317277,-1.40625,0.0397803,10.05,0.3175,0.0345596,0.0115,DES
118,1317666,-0.130189,0.0840751,10.241,0.1101,0.0294651,0.2055,DES
119,1319366,1.454,-0.0191037,9.611,0.2166,0.0275824,0.02,DES
120,1319821,-0.482562,-0.0826151,10.417,0.2244,0.0318017,0.0095,DES
122,1322229,1.1483,0.00928805,9.746,0.5736,0.0329158,0.017,DES
123,1322979,0.0557552,-0.090034,7.861,0.224,0.0238376,0.355,DES
124,1324542,0.341,-0.0654012,9.182,0.6214,0.0419703,0.157,DES
125,1325358,0.0260919,-0.0111452,8.223,0.7154,0.0734933,0.3945,DES
126,1327978,0.0457581,0.0630683,11.313,0.5852,0.0469997,0.4135,DES
127,1328066,0.7258,-0.127049,9.902,0.4546,0.037658,0.0275,DES
128,1328105,0.0915458,-0.0475863,11.204,0.4316,0.0351113,0.0815,DES
129,1329166,0.0719892,-0.0567594,9.996,0.3536,0.053267,0.9185,DES
130,1329196,0.478,-0.0742008,9.424,0.2839,0.0458415,1.2185,DES
131,1329312,-1.39496,-0.0541178,11.115,0.3453,0.0354528,0.0305,DES
132,1329615,-0.47318,-0.0109756,10.908,0.5626,0.0399873,0.0845,DES
133,1330031,0.0220233,-0.128202,8.941,0.1067,0.0361228,0.139,DES
135,1330642,1.0435,-0.114433,9.27,0.2778,0.0292351,0.036,DES
136,1330903,0.1151,-0.0400144,10.328,0.7035,0.0498049,0.172,DES
137,1331123,-1.64394,-0.0142717,11.23,0.2084,0.0307788,0.0,DES
138,1331993,0.5997,-0.0822183,8.931,0.4084,0.0400983,0.0265,DES
140,1332413,1.1746,-0.118069,9.206,0.5065,0.0402585,0.686,DES
141,1333246,1.7983,0.1415,10.905,0.9009,0.0671559,0.03,DES
142,1333438,0.4191,0.0965147,10.682,0.4808,0.0515347,0.085,DES
143,1334084,-0.73938,0.0924209,10.037,0.3777,0.0501073,0.0645,DES
144,1334087,0.624,-0.00887197,10.951,0.3736,0.0478084,0.0565,DES
145,1334302,-1.04435,-0.0240623,10.519,0.525,0.0387261,0.033,DES
146,1334423,0.9109,0.010257,9.499,0.3899,0.031953,0.0825,DES
147,1334448,-2.7828,-0.1116,10.665,0.8118,0.0626655,0.0875,DES
149,1334597,0.5822,-0.0484273,8.88,0.1016,0.025532,0.1735,DES
150,1334620,-0.48216,0.2205,10.351,0.3244,0.0352593,0.1955,DES
151,1334644,-1.72827,-0.0487652,11.217,0.3471,0.0357264,0.056,DES
152,1334645,-0.843085,-0.0316743,10.453,0.1789,0.0279712,0.132,DES
153,1334707,0.4859,-0.160272,9.267,0.229,0.0282234,0.2315,DES
154,1334879,-0.0503544,0.0866017,9.666,0.2739,0.035631,0.025,DES
155,1335472,-0.0712997,-0.0340935,10.125,0.3539,0.031862,0.05,DES
156,1335564,0.3936,-0.0422518,9.303,0.6368,0.0491424,0.2385,DES
157,1335694,0.9317,-0.0273833,10.969,0.2296,0.0305897,1.111,DES
158,1335717,-0.093238,0.0512822,9.773,0.1228,0.0270143,0.0025,DES
159,1335718,0.6527,-0.108791,8.642,0.2585,0.0287098,0.5365,DES
161,1336008,0.6697,-0.0624138,9.833,0.3223,0.0283999,0.0105,DES
162,1336009,-0.421503,0.1464,9.634,0.3474,0.0355367,0.081,DES
163,1336453,0.9761,-0.0622813,9.326,0.1386,0.0272136,0.0175,DES
164,1336480,-0.130048,0.0015483,10.476,0.3024,0.0364208,0.5175,DES
165,1336687,0.4036,0.0894578,8.58,0.1629,0.0277901,0.016,DES
166,1337117,0.5229,-0.0874112,8.813,0.3237,0.0324644,0.21,DES
167,1337221,-0.315507,-0.235054,8.565,0.5203,0.0377941,0.067,DES
168,1337228,-0.712539,-0.0678551,10.341,0.766,0.0743364,1.789,DES
169,1337272,-0.965961,-0.0772274,8.602,0.5706,0.0481425,0.135,DES
171,1337649,1.0674,0.0506131,8.682,0.1885,0.0284589,0.0315,DES
173,1337687,0.8763,-0.112113,8.4,0.1527,0.0243073,0.136,DES
174,1337703,-1.03837,-0.104678,10.583,0.4618,0.044605,0.1245,DES
175,1337838,1.0021,-0.0334336,8.424,0.2027,0.0257437,0.4435,DES
176,1338128,-0.685718,-0.00929745,9.265,0.332,0.033243,0.0255,DES
177,1338170,-0.0811555,0.0514283,9.889,0.5848,0.0448232,0.038,DES
178,1338233,-1.47269,-0.10872,10.984,0.937,0.0717725,0.024,DES
179,1338266,-0.373197,-0.0887644,8.965,0.5787,0.0441029,0.3485,DES
180,1338278,1.7086,0.0060643,9.919,0.8061,0.0503989,0.058,DES
182,1338430,0.5287,-0.0715848,10.781,0.485,0.0400408,0.0375,DES
183,1338471,-0.917901,-0.0403168,10.123,1.212,0.0604796,0.0905,DES
184,1338675,0.0154146,0.0263952,9.507,0.19,0.0261077,0.017,DES
185,1339002,-1.25329,0.1117,10.871,0.3876,0.0450759,0.017,DES
186,1339149,-0.268257,0.0226112,9.94,0.5045,0.0414309,0.002,DES
187,1339392,-0.415723,-0.0281054,10.292,0.6202,0.0558366,0.0435,DES
188,1339450,-1.1752,0.0798788,11.044,1.0737,0.066236,0.093,DES
189,1340454,1.4206,0.1213,9.909,0.481,0.0385489,0.019,DES
190,1341370,1.1261,0.0211804,8.648,0.5686,0.0373205,0.0555,DES
191,1341894,-0.226179,-0.0445568,10.003,0.368,0.0354101,0.009,DES
192,1342255,0.2514,-0.0826255,10.024,0.2985,0.0266124,0.0665,DES
193,1343208,-0.0862641,-0.0117207,10.385,0.3665,0.0299118,0.031,DES
194,1343337,0.7746,0.1627,9.832,0.6745,0.0410575,0.0825,DES
195,1343401,0.7521,-0.0581411,10.74,0.777,0.0383133,0.073,DES
196,1343533,-0.889937,-0.00552683,10.759,1.1488,0.067393,0.1305,DES
197,1343759,0.6843,-0.0916753,9.74,0.3481,0.0244733,0.036,DES
198,1343871,1.2702,-0.108535,8.743,1.2203,0.0467736,0.9285,DES
199,1344692,-1.80346,0.1696,11.06,1.7997,0.0892283,0.047,DES
200,1345553,0.2866,-0.143369,10.034,0.5218,0.0308717,0.1035,DES
201,1345582,0.95,-0.0956182,9.914,1.4668,0.0497113,0.43,DES
202,1345594,-0.0055933,-0.143577,11.19,1.1413,0.0503176,0.154,DES
203,1346137,0.8247,0.0250438,10.093,0.6204,0.0421234,0.101,DES
204,1346387,-2.11075,-0.0273758,10.812,0.3331,0.0272965,0.0525,DES
206,1346966,0.6191,-0.0999749,9.557,0.3941,0.031793,0.084,DES
0,000006,0.0365123,0.136,10.793,0.4148,0.0365631,0.055,PS1
1,000011,-2.15371,0.1279,11.764,0.5511,0.0403359,0.1,PS1
2,000034,0.9692,-0.109525,8.938,0.3553,0.0253223,0.669,PS1
4,000142,-0.741331,-0.0221802,11.713,0.4232,0.0382952,0.051,PS1
5,000190,0.091133,0.0128472,9.799,0.0986647,0.0256927,0.52,PS1
6,000199,0.8966,-0.0951558,10.475,0.2282,0.0241524,0.379,PS1
7,000215,0.9828,-0.0850942,8.707,0.3143,0.0298197,8.177,PS1
8,000236,-0.2042,-0.0726581,10.902,0.1422,0.0258878,0.009,PS1
9,000420,-0.759306,-0.0682782,9.742,0.1787,0.0259695,0.708,PS1
10,010026,-0.407068,-0.0230311,10.205,0.0823557,0.0326246,0.01,PS1
11,020027,0.3037,0.0447153,10.748,0.1516,0.0289418,0.107,PS1
12,020096,-0.693198,-0.0651011,9.059,0.2157,0.0328227,0.642,PS1
13,020176,0.9107,-0.0764723,8.7022,0.3094,0.0269905,0.1,PS1
14,030066,1.3874,-0.119485,9.134,0.3686,0.0337059,0.243,PS1
15,040137,1.1067,0.0371509,8.743,0.5394,0.0449073,0.953,PS1
16,040166,0.3511,-0.137588,8.798,0.6198,0.0450388,1.167,PS1
17,040782,-0.584295,0.1644,10.152,0.4376,0.042576,0.358,PS1
18,050005,1.4136,0.00545954,9.633,0.672,0.0432041,0.557,PS1
19,050203,1.0254,-0.109377,8.835,0.6766,0.058133,1.294,PS1
20,050251,0.707,0.00277102,11.401,0.5873,0.0469027,0.015,PS1
21,050293,0.426,-0.0106875,8.555,0.408,0.0325929,8.052,PS1
22,050301,0.8364,0.1665,10.5212,0.4922,0.0369611,0.1,PS1
23,050607,0.1383,0.0739845,9.458,0.3936,0.0444799,0.394,PS1
24,070955,1.431,-0.0267604,9.513,0.339,0.0289726,0.464,PS1
25,080723,0.1818,-0.146788,9.753,0.31,0.0353123,0.323,PS1
26,090201,0.0472343,-0.0851126,8.684,0.5004,0.0415603,7.083,PS1
27,091869,1.3525,0.00146722,10.347,0.328,0.0318658,0.444,PS1
28,100090,-1.02391,0.0486361,9.978,0.332,0.0316188,0.071,PS1
29,100163,0.2806,-0.0663995,10.434,0.4721,0.0515271,0.358,PS1
30,100213,0.8389,0.0267554,9.414,0.3125,0.0404482,0.36,PS1
31,100405,-0.920768,0.0533893,11.1314,0.3704,0.055174,0.1,PS1
32,110033,1.3105,-0.0256228,10.063,0.3926,0.0528333,0.237,PS1
33,110478,0.9276,-0.0320809,9.468,0.3211,0.0323303,0.394,PS1
34,110536,0.5596,0.1835,10.577,0.5121,0.0505913,0.198,PS1
35,110567,-1.00786,0.1569,11.403,0.469,0.0491504,0.006,PS1
